name,latitude_deg,longitude_deg
Total RF Heliport,40.070985,-74.933689
Aero B Ranch Airport,38.704022,-101.473911
Lowell Field,59.947733,-151.692524
Epps Airpark,34.8647995,-86.77030182
Katmai Lodge Airport,59.093287,-156.456699
Newport Hospital & Clinic Heliport,35.6087,-91.254898
Fulton Airport,34.9428028,-97.8180194
Cordes Airport,34.30559921,-112.1650009
Goldstone (GTS) Airport,35.35474,-116.885329
Williams Ag Airport,39.427188,-121.763427
Kitchen Creek Helibase Heliport,32.7273736,-116.4597417
Cass Field,40.622202,-104.344002
Grass Patch Airport,28.64550018,-82.21900177
Ringhaver Heliport,28.8466,-82.345398
River Oak Airport,27.23089981,-80.96920013
Lt World Airport,33.76750183,-84.06829834
Caffrey Heliport,33.887982,-84.736983
Kaupulehu Heliport,19.832881,-155.978347
Delta Shores Airport,48.14530182,-116.2139969
Goltl Airport,39.724028,-101.395994
Bailey Generation Station Heliport,41.644501,-87.122803
Hammer Airport,41.978401,-89.560402
St Mary Medical Center Heliport,41.51139832,-87.26059723
Hayenga's Cant Find Farms Airport,40.02560043,-89.12290192
Hayden Farm Airport,38.72779846,-94.93049622
Robbins Roost Airport,37.40940094,-84.61969757
Shell Chemical East Site Heliport,30.191944,-90.980833
Ac & R Components Heliport,39.66529846,-89.70559692
Lejeune Airport,30.136299,-92.429398
Slater Field,38.75709915,-75.75379944
Dow Chemical Heliport,43.94940186,-86.41670227
Battle Lake Municipal Airport,46.29999924,-95.70030212
Cooper Flying Service Airport,37.20280075,-94.41239929
Livingston Healthcare Heliport,45.675,-110.52515
Bucks Airport,39.472998,-75.184346
North Raleigh Airport,36.08520126,-78.37139893
Colgate-Piscataway Heliport,40.52090073,-74.47460175
Cliche Cove Seaplane Base,44.8118612,-73.3698057
Rodanthe Dare County Heliport,35.594729,-75.470002
Weiss Airfield,42.89576,-77.495263
Exit 3 Airport,41.590476,-84.141583
Miami Valley Hospital Heliport,39.745091,-84.187278
Gull Bay Landing Airport,36.198598,-96.217693
Steel Systems Heliport,44.93289948,-123.1299973
